"","Reporter","Year","FAOGroup","FMI_Imp1"
"1","Albania",2016,"Cephalopods",0.566747993857614
"2","Albania",2016,"Crustaceans",0.607582535287794
"3","Albania",2016,"Demersal fish",0.588545191046115
"4","Albania",2016,"Freshwater & diadromous fish",0.550399710099692
"5","Albania",2016,"Marine fish nei",0.519073060136612
"6","Albania",2016,"Molluscs excl. cephalopods",0.514674774860997
"7","Albania",2016,"Pelagic fish",0.610189951655053
"8","Albania",2017,"Aquatic animals nei",0.536679996401854
"9","Albania",2017,"Cephalopods",0.563891341269107
"10","Albania",2017,"Crustaceans",0.622887498203251
"11","Albania",2017,"Demersal fish",0.730004542088147
"12","Albania",2017,"Freshwater & diadromous fish",0.576286908094497
"13","Albania",2017,"Marine fish nei",0.542630513302551
"14","Albania",2017,"Molluscs excl. cephalopods",0.51217078169338
"15","Albania",2017,"Pelagic fish",0.610759302123403
"16","Algeria",2012,"Aquatic animals nei",0.552541562911769
"17","Algeria",2012,"Cephalopods",0.488666283126253
"18","Algeria",2012,"Crustaceans",0.434915790218931
"19","Algeria",2012,"Demersal fish",0.596274006068863
"20","Algeria",2012,"Freshwater & diadromous fish",0.434758873769065
"21","Algeria",2012,"Marine fish nei",0.43912641068936
"22","Algeria",2012,"Molluscs excl. cephalopods",0.489502613507286
"23","Algeria",2012,"Pelagic fish",0.531884478872795
"24","Algeria",2013,"Aquatic animals nei",0.408988163797183
"25","Algeria",2013,"Cephalopods",0.491545880030449
"26","Algeria",2013,"Crustaceans",0.436963072483507
"27","Algeria",2013,"Demersal fish",0.580333147340071
"28","Algeria",2013,"Freshwater & diadromous fish",0.414833802081293
"29","Algeria",2013,"Marine fish nei",0.440771292766029
"30","Algeria",2013,"Molluscs excl. cephalopods",0.493430672941924
"31","Algeria",2013,"Pelagic fish",0.519219314258493
"32","Algeria",2014,"Aquatic animals nei",0.395917336447992
"33","Algeria",2014,"Cephalopods",0.498030518274405
"34","Algeria",2014,"Crustaceans",0.440441774954595
"35","Algeria",2014,"Demersal fish",0.601980994444446
"36","Algeria",2014,"Freshwater & diadromous fish",0.425987518889401
"37","Algeria",2014,"Marine fish nei",0.410653343147178
"38","Algeria",2014,"Molluscs excl. cephalopods",0.471153230342229
"39","Algeria",2014,"Pelagic fish",0.513728970500632
"40","Algeria",2015,"Aquatic animals nei",0.405972032822818
"41","Algeria",2015,"Cephalopods",0.497674783311037
"42","Algeria",2015,"Crustaceans",0.446051831276704
"43","Algeria",2015,"Demersal fish",0.596780383115232
"44","Algeria",2015,"Freshwater & diadromous fish",0.43520905543289
"45","Algeria",2015,"Marine fish nei",0.478323779686894
"46","Algeria",2015,"Molluscs excl. cephalopods",0.43228198979529
"47","Algeria",2015,"Pelagic fish",0.519466459766287
"48","Algeria",2016,"Aquatic animals nei",0.39722978952405
"49","Algeria",2016,"Cephalopods",0.494178676871945
"50","Algeria",2016,"Crustaceans",0.434965023767081
"51","Algeria",2016,"Demersal fish",0.609826473915215
"52","Algeria",2016,"Freshwater & diadromous fish",0.457651009038716
"53","Algeria",2016,"Marine fish nei",0.408700085072836
"54","Algeria",2016,"Molluscs excl. cephalopods",0.425453381988873
"55","Algeria",2016,"Pelagic fish",0.555553848363932
"56","Algeria",2017,"Aquatic animals nei",0.396410812573336
"57","Algeria",2017,"Cephalopods",0.500627169058494
"58","Algeria",2017,"Crustaceans",0.452897446285165
"59","Algeria",2017,"Demersal fish",0.628118625121073
"60","Algeria",2017,"Freshwater & diadromous fish",0.435448477464857
"61","Algeria",2017,"Marine fish nei",0.380216837742286
"62","Algeria",2017,"Molluscs excl. cephalopods",0.55008598574545
"63","Algeria",2017,"Pelagic fish",0.559251444691335
"64","Argentina",2012,"Aquatic animals nei",0.563134197364061
"65","Argentina",2012,"Cephalopods",0.599237481562646
"66","Argentina",2012,"Crustaceans",0.495109820625772
"67","Argentina",2012,"Demersal fish",0.686035532419351
"68","Argentina",2012,"Freshwater & diadromous fish",0.567219078225327
"69","Argentina",2012,"Marine fish nei",0.424453855654462
"70","Argentina",2012,"Molluscs excl. cephalopods",0.573999544233937
"71","Argentina",2012,"Pelagic fish",0.503232732530347
"72","Argentina",2013,"Aquatic animals nei",0.562828074885059
"73","Argentina",2013,"Cephalopods",0.602150945725327
"74","Argentina",2013,"Crustaceans",0.500467429471529
"75","Argentina",2013,"Demersal fish",0.695779036107463
"76","Argentina",2013,"Freshwater & diadromous fish",0.567259682032285
"77","Argentina",2013,"Marine fish nei",0.412822563879675
"78","Argentina",2013,"Molluscs excl. cephalopods",0.573486152395078
"79","Argentina",2013,"Pelagic fish",0.514885845629625
"80","Argentina",2014,"Aquatic animals nei",0.562906698983792
"81","Argentina",2014,"Cephalopods",0.606041429284478
"82","Argentina",2014,"Crustaceans",0.503766920516208
"83","Argentina",2014,"Demersal fish",0.481118433472873
"84","Argentina",2014,"Freshwater & diadromous fish",0.567389300239367
"85","Argentina",2014,"Marine fish nei",0.419915890402682
