Product,Product_Description
160411,"160411 Salmon, Prepared Or Preserved, Whole Or In Pieces, But Not Minced"
160521,"160521 Shrimps And Prawns, Prepared Or Preserved, Not In Airtight Containers"
160529,"160529 Shrimps And Prawns, Prepared Or Preserved In Airtight Containers"
160540,"160540 Crustaceans, Nesoi, Prepared Or Preserved, Including Products Containing Fish Meat"
160551,"160551 Oysters, Prepared Or Preserved"
160552,"160552 Scallops, Including Queen Scallops, Prepared Or Preserved"
160553,"160553 Mussels, Prepared Or Preserved"
160556,"160556 Clams, Cockles And Arkshells, Prepared Or Preserved"
160559,"160559 Molluscs, Prepared Or Preserved, Nesoi"
160561,"160561 Sea Cucumbers, Prepared Or Preserved"
160563,"160563 Jellyfish, Prepared Or Preserved"
160569,"160569 Aquatic Invertebrates, Prepared Or Preserved, Nesoi"
3011191,03011191 Koi Carp Live Excl Fry
3019102,"03019102 Live trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus"
3019110,03019110 Live Trout Oncorhynchus Apache And Oncorhynchus Chrysogaster
3019190,"03019190 Live Trout Salmo Trutta, Oncorhynchus Mykiss, Oncorhynchus Clarki, Oncorhynchus Aguabonita, Oncorhynchus Gilae"
3019300,"03019300 Live Carp (Cyprinus Carpio, Carassius Carassius, Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus)"
3019304,"03019304 Live Carp (Cyprinus Spp., Carassius Spp., Ctenopharyngodon Idellus, Hypophthalmichthys Spp., Cirrhinus Spp., Mylopharyngodon Piceus, Catla Catla, Labeo Spp., Osteochilus Hasselti, Leptobarbus Hoeveni, Megalobrama Spp.)"
3019310,03019310 Carpas p/reproduccin
3019320,"03019320 Big-Head, Live"
3019350,03019350 Live Big-Head
3019360,03019360 Live Mud Carp
3019370,03019370 Live Grass Carp
3019390,"03019390 Carp, Other Than Grass Carp & Big-Head, Live"
3019911,"03019911 Live Pacific Salmon Oncorhynchus Nerka, Oncorhynchus Gorbuscha, Oncorhynchus Keta, Oncorhynchus Tschawytscha, Oncorhynchus Kisutch, Oncorhynchus Masou And Oncorhynchus Rhodurus, Atlantic Salmon Salmo Salar And Danube Salmon Hucho Hucho"
3019914,"03019914 Green Grouper Fry (Epinephelus Coioides), Live"
3019920,03019920 Other Live Milkfish Breeder
3019922,"03019922 High-Finned Grouper (Cromileptes Altivelis), Live"
3019924,"03019924 Green Grouper (Epinephelus Coioides), Live"
3019925,"03019925 Tiger Grouper (Epinephelus Fuscoguttatus), Live"
3019926,"03019926 Flowery Grouper (Epinephelus Polyphekadion), Live"
3019942,"03019942 Other Carp, For Breeding"
3019952,03019952 Grouper
3019991,03019991 Live Tilapia
3019993,03019993 Other Live Carps
3021110,03021110 Fresh Or Chilled Trout Oncorhynchus Apache And Oncorhynchus Chrysogaster
