Country,Region,IncomeLevel
Afghanistan,Southern Asia,Least Developed Countries
Albania,Southern Europe,Developed countries or areas
Algeria,Africa,Other developing countries or areas
American Samoa,Polynesia,Other developing countries or areas
Angola,Africa,Least Developed Countries
Anguilla,Caribbean,Other developing countries or areas
Antigua and Barbuda,Caribbean,Other developing countries or areas
Argentina,South America,Other developing countries or areas
Armenia,Western Asia,Other developing countries or areas
Aruba,Caribbean,Other developing countries or areas
Australia,Australia and New Zealand,Developed countries or areas
Austria,Western Europe,Developed countries or areas
Azerbaijan,Western Asia,Other developing countries or areas
Bahamas,Caribbean,Other developing countries or areas
Bahrain,Western Asia,Other developing countries or areas
Bangladesh,Southern Asia,Least Developed Countries
Barbados,Caribbean,Other developing countries or areas
Belarus,Eastern Europe,Developed countries or areas
Belgium,Western Europe,Developed countries or areas
Belgium-Luxembourg,Western Europe,Developed countries or areas
Belize,Central America,Other developing countries or areas
Benin,Africa,Least Developed Countries
Bermuda,Northern America,Developed countries or areas
Bhutan,Southern Asia,Least Developed Countries
Bolivia (Plurinat.State),South America,Other developing countries or areas
Bonaire/S.Eustatius/Saba,Caribbean,Other developing countries or areas
Bosnia & Herzegovina,Southern Europe,Developed countries or areas
Botswana,Africa,Other developing countries or areas
Brazil,South America,Other developing countries or areas
British Indian Ocean Ter,Africa,Other developing countries or areas
British Virgin Islands,Caribbean,Other developing countries or areas
Brunei Darussalam,South-Eastern Asia,Other developing countries or areas
Bulgaria,Eastern Europe,Developed countries or areas
Burkina Faso,Africa,Least Developed Countries
Burundi,Africa,Least Developed Countries
Cabo Verde,Africa,Other developing countries or areas
Cambodia,South-Eastern Asia,Least Developed Countries
Cameroon,Africa,Other developing countries or areas
Canada,Northern America,Developed countries or areas
Cayman Islands,Caribbean,Other developing countries or areas
Central African Republic,Africa,Least Developed Countries
Chad,Africa,Least Developed Countries
Chile,South America,Other developing countries or areas
China,Eastern Asia,Other developing countries or areas
Hong Kong,Eastern Asia,Other developing countries or areas
Macau,Eastern Asia,Other developing countries or areas
Colombia,South America,Other developing countries or areas
Comoros,Africa,Least Developed Countries
Congo,Africa,Other developing countries or areas
"Congo, Dem. Rep. of the",Africa,Least Developed Countries
Cook Islands,Polynesia,Other developing countries or areas
Costa Rica,Central America,Other developing countries or areas
Croatia,Southern Europe,Developed countries or areas
Cuba,Caribbean,Other developing countries or areas
Curaçao,Caribbean,Other developing countries or areas
Cyprus,Western Asia,Developed countries or areas
Czechia,Eastern Europe,Developed countries or areas
Czechoslovakia,Eastern Europe,Developed countries or areas
Cote d Ivoire,Africa,Other developing countries or areas
Denmark,Northern Europe,Developed countries or areas
Djibouti,Africa,Least Developed Countries
Dominica,Caribbean,Other developing countries or areas
Dominican Republic,Caribbean,Other developing countries or areas
Ecuador,South America,Other developing countries or areas
Egypt,Africa,Other developing countries or areas
El Salvador,Central America,Other developing countries or areas
Equatorial Guinea,Africa,Other developing countries or areas
Eritrea,Africa,Least Developed Countries
Estonia,Northern Europe,Developed countries or areas
Eswatini,Africa,Other developing countries or areas
Ethiopia,Africa,Least Developed Countries
Ethiopia PDR,Africa,Least Developed Countries
Falkland Is.(Malvinas),South America,Other developing countries or areas
Faroe Islands,Northern Europe,Developed countries or areas
Fiji,Melanesia,Other developing countries or areas
Finland,Northern Europe,Developed countries or areas
France,Western Europe,Developed countries or areas
French Guiana,South America,Other developing countries or areas
French Polynesia,Polynesia,Other developing countries or areas
French Southern Terr,Africa,Other developing countries or areas
Gabon,Africa,Other developing countries or areas
Gambia,Africa,Least Developed Countries
Georgia,Western Asia,Other developing countries or areas
Germany,Western Europe,Developed countries or areas
Ghana,Africa,Other developing countries or areas
Greece,Southern Europe,Developed countries or areas
Greenland,Northern America,Developed countries or areas
Grenada,Caribbean,Other developing countries or areas
Guadeloupe,Caribbean,Other developing countries or areas
Guam,Micronesia,Other developing countries or areas
Guatemala,Central America,Other developing countries or areas
Guinea,Africa,Least Developed Countries
Guinea-Bissau,Africa,Least Developed Countries
Guyana,South America,Other developing countries or areas
Haiti,Caribbean,Least Developed Countries
Honduras,Central America,Other developing countries or areas
Hungary,Eastern Europe,Developed countries or areas
Iceland,Northern Europe,Developed countries or areas
India,Southern Asia,Other developing countries or areas
Indonesia,South-Eastern Asia,Other developing countries or areas
Iran,Southern Asia,Other developing countries or areas
Iraq,Western Asia,Other developing countries or areas
Ireland,Northern Europe,Developed countries or areas
Israel,Western Asia,Developed countries or areas
Italy,Southern Europe,Developed countries or areas
Jamaica,Caribbean,Other developing countries or areas
Japan,Eastern Asia,Developed countries or areas
Jordan,Western Asia,Other developing countries or areas
Kazakhstan,Central Asia,Other developing countries or areas
Kenya,Africa,Other developing countries or areas
Kiribati,Micronesia,Least Developed Countries
North Korea,Eastern Asia,Other developing countries or areas
South Korea,Eastern Asia,Other developing countries or areas
Kuwait,Western Asia,Other developing countries or areas
Kyrgyzstan,Central Asia,Other developing countries or areas
Lao People's Dem. Rep.,South-Eastern Asia,Least Developed Countries
Latvia,Northern Europe,Developed countries or areas
Lebanon,Western Asia,Other developing countries or areas
Lesotho,Africa,Least Developed Countries
Liberia,Africa,Least Developed Countries
Libya,Africa,Other developing countries or areas
Lithuania,Northern Europe,Developed countries or areas
Luxembourg,Western Europe,Developed countries or areas
Madagascar,Africa,Least Developed Countries
Malawi,Africa,Least Developed Countries
Malaysia,South-Eastern Asia,Other developing countries or areas
Maldives,Southern Asia,Other developing countries or areas
Mali,Africa,Least Developed Countries
Malta,Southern Europe,Developed countries or areas
Marshall Islands,Micronesia,Other developing countries or areas
Martinique,Caribbean,Other developing countries or areas
Mauritania,Africa,Least Developed Countries
Mauritius,Africa,Other developing countries or areas
Mayotte,Africa,Other developing countries or areas
Mexico,Central America,Other developing countries or areas
"Micronesia, Fed.States of",Micronesia,Other developing countries or areas
"Moldova, Republic of",Eastern Europe,Developed countries or areas
Monaco,Western Europe,Developed countries or areas
Mongolia,Eastern Asia,Other developing countries or areas
Montenegro,Southern Europe,Developed countries or areas
Montserrat,Caribbean,Other developing countries or areas
Morocco,Africa,Other developing countries or areas
Mozambique,Africa,Least Developed Countries
Myanmar,South-Eastern Asia,Least Developed Countries
Namibia,Africa,Other developing countries or areas
Nauru,Micronesia,Other developing countries or areas
Nepal,Southern Asia,Least Developed Countries
Netherlands,Western Europe,Developed countries or areas
Netherlands Antilles,Caribbean,Other developing countries or areas
New Caledonia,Melanesia,Other developing countries or areas
New Zealand,Australia and New Zealand,Developed countries or areas
Nicaragua,Central America,Other developing countries or areas
Niger,Africa,Least Developed Countries
Nigeria,Africa,Other developing countries or areas
Niue,Polynesia,Other developing countries or areas
North Macedonia,Southern Europe,Developed countries or areas
Northern Mariana Is.,Micronesia,Other developing countries or areas
Norway,Northern Europe,Developed countries or areas
Oman,Western Asia,Other developing countries or areas
Other nei,,
Pakistan,Southern Asia,Other developing countries or areas
Palau,Micronesia,Other developing countries or areas
Palestine,Western Asia,Other developing countries or areas
Panama,Central America,Other developing countries or areas
Papua New Guinea,Melanesia,Other developing countries or areas
Paraguay,South America,Other developing countries or areas
Peru,South America,Other developing countries or areas
Philippines,South-Eastern Asia,Other developing countries or areas
Pitcairn Islands,Polynesia,Other developing countries or areas
Poland,Eastern Europe,Developed countries or areas
Portugal,Southern Europe,Developed countries or areas
Puerto Rico,Caribbean,Other developing countries or areas
Qatar,Western Asia,Other developing countries or areas
Romania,Eastern Europe,Developed countries or areas
Russia,Eastern Europe,Developed countries or areas
Rwanda,Africa,Least Developed Countries
Réunion,Africa,Other developing countries or areas
Saint Barthélemy,Caribbean,Other developing countries or areas
Saint Helena,Africa,Other developing countries or areas
Saint Kitts and Nevis,Caribbean,Other developing countries or areas
Saint Lucia,Caribbean,Other developing countries or areas
Saint Vincent/Grenadines,Caribbean,Other developing countries or areas
Saint-Martin,Caribbean,Other developing countries or areas
Samoa,Polynesia,Other developing countries or areas
Sao Tome and Principe,Africa,Least Developed Countries
Saudi Arabia,Western Asia,Other developing countries or areas
Senegal,Africa,Least Developed Countries
Serbia,Southern Europe,Developed countries or areas
Serbia and Montenegro,Southern Europe,Developed countries or areas
Seychelles,Africa,Other developing countries or areas
Sierra Leone,Africa,Least Developed Countries
Singapore,South-Eastern Asia,Other developing countries or areas
Sint Maarten,Caribbean,Other developing countries or areas
Slovakia,Eastern Europe,Developed countries or areas
Slovenia,Southern Europe,Developed countries or areas
Solomon Islands,Melanesia,Least Developed Countries
Somalia,Africa,Least Developed Countries
South Africa,Africa,Other developing countries or areas
South Sudan,Africa,Least Developed Countries
Spain,Southern Europe,Developed countries or areas
Sri Lanka,Southern Asia,Other developing countries or areas
St. Pierre and Miquelon,Northern America,Developed countries or areas
Sudan,Africa,Least Developed Countries
Sudan (former),Africa,Least Developed Countries
Suriname,South America,Other developing countries or areas
Sweden,Northern Europe,Developed countries or areas
Switzerland,Western Europe,Developed countries or areas
Syrian Arab Republic,Western Asia,Other developing countries or areas
Taiwan Province of China,Eastern Asia,Other developing countries or areas
Tajikistan,Central Asia,Other developing countries or areas
"Tanzania, United Rep. of",Africa,Least Developed Countries
Thailand,South-Eastern Asia,Other developing countries or areas
Timor-Leste,South-Eastern Asia,Least Developed Countries
Togo,Africa,Least Developed Countries
Tokelau,Polynesia,Other developing countries or areas
Tonga,Polynesia,Other developing countries or areas
Trinidad and Tobago,Caribbean,Other developing countries or areas
Tunisia,Africa,Other developing countries or areas
Turkey,Western Asia,Other developing countries or areas
Turkmenistan,Central Asia,Other developing countries or areas
Turks and Caicos Is.,Caribbean,Other developing countries or areas
Tuvalu,Polynesia,Least Developed Countries
US Virgin Islands,Caribbean,Other developing countries or areas
Uganda,Africa,Least Developed Countries
Ukraine,Eastern Europe,Developed countries or areas
Un. Sov. Soc. Rep.,,Developed countries or areas
United Arab Emirates,Western Asia,Other developing countries or areas
United Kingdom,Northern Europe,Developed countries or areas
United States,Northern America,Developed countries or areas
Uruguay,South America,Other developing countries or areas
Uzbekistan,Central Asia,Other developing countries or areas
Vanuatu,Melanesia,Least Developed Countries
Venezuela,South America,Other developing countries or areas
Viet Nam,South-Eastern Asia,Other developing countries or areas
Wallis and Futuna Is.,Polynesia,Other developing countries or areas
Yemen,Western Asia,Least Developed Countries
Yugoslavia SFR,Southern Europe,Developed countries or areas
Zambia,Africa,Least Developed Countries
Zimbabwe,Africa,Other developing countries or areas
Totals - Production,,
Totals - Stock variations,,
Totals - Non-food uses,,
Totals - Food exports,,
Totals - Food imports,,
Totals - Total food supply,,
FAO. 2020. Fishery and Aquaculture Statistics.  Food balance sheets of fish and fishery products 1961-2017 (FishstatJ). In: FAO Fisheries Division [online]. Rome. Updated 2020. www.fao.org/fishery/statistics/software/fishstatj/en,,
