"","Country","ProductType","Year","Exports","Imports","NonFoodUse","Production","Variation","FoodSupply","class","p_prod","p_imp","FMI"
"1","Afghanistan","Freshwater & diadromous fish","X2012",0,0,0,4780,0,4780,"no_reexp",1,0,0.235960433785771
"2","Afghanistan","Freshwater & diadromous fish","X2013",0,0,0,5560,0,5560,"no_reexp",1,0,0.235960433785771
"3","Afghanistan","Freshwater & diadromous fish","X2014",0,0,0,6360,0,6360,"no_reexp",1,0,0.235960433785771
"4","Afghanistan","Freshwater & diadromous fish","X2015",0,0,0,7200,0,7200,"no_reexp",1,0,0.235960433785771
"5","Afghanistan","Freshwater & diadromous fish","X2016",0,0,0,8050,0,8050,"no_reexp",1,0,0.235960433785771
"6","Afghanistan","Freshwater & diadromous fish","X2017",0,0,0,9000,0,9000,"no_reexp",1,0,0.235960433785771
"7","Albania","Aquatic animals nei","X2017",0,4,0,0,0,4,"no_reexp",0,1,0.552767541
"8","Albania","Cephalopods","X2012",602,1469,0,321,0,1188,"proportional",0.179329608938547,0.820670391061453,0.552767541
"9","Albania","Cephalopods","X2013",827,1573,0,347,0,1093,"proportional",0.180729166666667,0.819270833333333,0.552767541
"10","Albania","Cephalopods","X2014",796,1849.67,0,353,0,1406.67,"proportional",0.160260048032615,0.839739951967385,0.552767541
"11","Albania","Cephalopods","X2015",699,1968.67,0,340,0,1609.67,"proportional",0.147270939545279,0.852729060454721,0.552767541
"12","Albania","Cephalopods","X2016",859,2094,0,365,0,1600,"proportional",0.148434322895486,0.851565677104514,0.552767541
"13","Albania","Cephalopods","X2017",1244,2985.33,0,333,0,2074.33,"proportional",0.100351682924845,0.899648317075155,0.552767541
"14","Albania","Crustaceans","X2012",148,714,0,1624,0,2190,"no_reexp",0.694610778443114,0.305389221556886,0.552767541
"15","Albania","Crustaceans","X2013",25.33,672.67,0,1632,0,2279.33,"no_reexp",0.708127410865764,0.291872589134236,0.552767541
"16","Albania","Crustaceans","X2014",122.33,1056.67,0,1863,0,2797.33,"no_reexp",0.638085811067689,0.361914188932311,0.552767541
"17","Albania","Crustaceans","X2015",288.33,1353.33,0,1887,0,2952,"no_reexp",0.582348094175593,0.417651905824407,0.552767541
"18","Albania","Crustaceans","X2016",2236.67,3359.67,0,2107,0,3230,"proportional",0.385426594252077,0.614573405747923,0.552767541
"19","Albania","Crustaceans","X2017",7473,9296.36,0,2093,0,3916.36,"proportional",0.18376800803557,0.81623199196443,0.552767541
"20","Albania","Demersal fish","X2012",783,1084.5,0,3982,0,4283.5,"proportional",0.785946906148229,0.214053093851771,0.552767541
"21","Albania","Demersal fish","X2013",297,991.88,0,4147,0,4841.88,"no_reexp",0.80698517965004,0.19301482034996,0.552767541
"22","Albania","Demersal fish","X2014",297.23,916.85,0,4242,0,4861.62,"no_reexp",0.822276282504822,0.177723717495178,0.552767541
"23","Albania","Demersal fish","X2015",343.25,980.48,0,4610,0,5247.23,"no_reexp",0.824616133140625,0.175383866859375,0.552767541
"24","Albania","Demersal fish","X2016",285.79,756.57,0,4889,0,5359.79,"no_reexp",0.865988730987305,0.134011269012695,0.552767541
"25","Albania","Demersal fish","X2017",1188,1650.62,0,5543,0,6005.62,"proportional",0.770543898621278,0.229456101378722,0.552767541
"26","Albania","Freshwater & diadromous fish","X2012",7,107.6,0,1817,0,1917.6,"no_reexp",0.944092278915099,0.0559077210849008,0.552767541
"27","Albania","Freshwater & diadromous fish","X2013",31.1,165,0,1859,0,1992.9,"no_reexp",0.918478260869565,0.0815217391304348,0.552767541
"28","Albania","Freshwater & diadromous fish","X2014",4.33,178.38,0,1969,0,2143.05,"no_reexp",0.916931330272239,0.0830686697277613,0.552767541
"29","Albania","Freshwater & diadromous fish","X2015",14,152.87,0,1940,0,2078.87,"no_reexp",0.926956762722959,0.0730432372770406,0.552767541
"30","Albania","Freshwater & diadromous fish","X2016",290.22,283.06,0,2051,0,2043.84,"proportional",0.878726339511409,0.121273660488591,0.552767541
"31","Albania","Freshwater & diadromous fish","X2017",1040.38,234.21,0,2438,0,1631.82,"proportional",0.912353445275633,0.0876465547243667,0.552767541
"32","Albania","Marine fish nei","X2012",89,291.56,0,316,0,518.56,"proportional",0.520113239844624,0.479886760155376,0.552767541
"33","Albania","Marine fish nei","X2013",168,1465.21,0,430,0,1727.21,"no_reexp",0.226887785522449,0.773112214477551,0.552767541
"34","Albania","Marine fish nei","X2014",294,1420.89,0,520,0,1646.89,"proportional",0.267918326128735,0.732081673871265,0.552767541
"35","Albania","Marine fish nei","X2015",144.5,906.29,0,348,0,1109.79,"proportional",0.277447799153306,0.722552200846694,0.552767541
"36","Albania","Marine fish nei","X2016",241.2,1756.87,0,330,0,1845.66,"proportional",0.158131555870754,0.841868444129246,0.552767541
"37","Albania","Marine fish nei","X2017",371.37,1473.41,0,200,0,1302.04,"proportional",0.119516436497929,0.880483563502071,0.552767541
"38","Albania","Molluscs excl. cephalopods","X2012",92,58,0,951,0,917,"no_reexp",0.942517343904856,0.0574826560951437,0.552767541
"39","Albania","Molluscs excl. cephalopods","X2013",0,263.33,0,1001,0,1264.33,"no_reexp",0.791723679735512,0.208276320264488,0.552767541
"40","Albania","Molluscs excl. cephalopods","X2014",20,53,0,1201,0,1234,"no_reexp",0.957735247208931,0.0422647527910686,0.552767541
"41","Albania","Molluscs excl. cephalopods","X2015",20,378.33,0,496,0,854.33,"no_reexp",0.567291526082829,0.432708473917171,0.552767541
"42","Albania","Molluscs excl. cephalopods","X2016",0,402,0,1451,0,1853,"no_reexp",0.783054506206152,0.216945493793848,0.552767541
"43","Albania","Molluscs excl. cephalopods","X2017",123.33,118.67,0,431,0,426.33,"proportional",0.784106827733003,0.215893172266997,0.552767541
