"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"1","Algeria",0.584664215388407,0.597705103771135,0.565706610982902,0.574103153111557,0.520266634259185,0.624891929,12092.15,379031.99,601248,967885.82
"2","Argentina",0.668410845249255,0.664682354703989,0.642724945482773,0.639834484146742,0.538539546091575,0.694,3565807.34,387311.41,4864978,1686454.83
"3","Australia",0.635614631099926,0.742400702868418,0.605430206471556,0.652370397030377,0.53139022482936,0.815911793,367093.86,2830087.31,1545651,3796719.49
"4","Austria",0.594736027533531,0.637244284915866,0.593955627772595,0.632123436854627,0.590202327271706,0.653110160843021,120162.17,820545.61,22651,724001.56
"5","Bahrain",0.448980206684751,0.450393364747344,0.450402429468337,0.465737375574553,0.446314262585281,0.449194033,75993.29,106105.95,102943,126057.06
"6","Belarus",0.696528410588439,0.817562919834252,0.692260314656131,0.769348920227505,0.677066232277266,0.865177800681336,592910.99,1295247.66,75148,780817.96
"7","Belgium",0.5881220463998,0.640344417881593,0.588147802760473,0.631570957657151,0.568328662547304,0.658662107,1676678.51,3186114.93,154358,1663777.21
"8","Bolivia",0.512785755144975,0.494051574052347,0.514427341746622,0.521919146408667,0.527384875759403,0.485511879855381,0,103221.05,55255,158473.04
"9","Botswana",0.677476795815509,0.751955896771055,0.675399159271808,0.730752774200928,0.673732190846802,0.78060158625506,6782.86,53074.88,2184,48458.99
"10","Brazil",0.3604996976683,0.325872168642891,0.413087899886288,0.450029969798165,0.549825139419672,0.251,270598.75,4481273.77,7741705,11484845.52
"11","Bulgaria",0.685375603592765,0.816395535011402,0.660001213404112,0.724339382168394,0.614571574733048,0.892685779,113553.95,283763.55,128278,291450.03
"12","Canada",0.732789989780096,0.765981489276203,0.685526469569254,0.685049578341057,0.571944516942925,0.834,4896278.97,3895542.53,6181096,4877815.91
"13","Chile",0.683010767359775,0.653372433164319,0.630141368902744,0.592574877131817,0.49896176797904,0.706,8375316.32,707159.85,18324875,1356704.42
"14","China",0.384042620059157,0.426453815445263,0.443884568024201,0.525491489504231,0.644554625130194,0.37,46736749.22,22414371.78,351362676,309389760.7
"15","Colombia",0.525674202662991,0.523750038638262,0.519020305687678,0.528374557641708,0.526420982425129,0.531008033,391951.01,1369376.93,1039709,2017134.91
"16","Costa Rica",0.609910954798746,0.684010804961645,0.584144479953241,0.617821123982669,0.537720465260023,0.74076962,224271.28,423289.42,241146,423261.21
"17","Cote d Ivoire",0.514474969977245,0.494175466603957,0.514680028975584,0.520270163253968,0.525047832196248,0.486798698,389950.12,2322224.75,451442,2383716.63
"18","Croatia",0.618651760457213,0.621780653724433,0.618656406247501,0.638763081541338,0.61749668897201,0.622874455,365821.68,304207.66,520683,461874.41
"19","Cyprus",0.526291338531722,0.550799913853355,0.530749419378871,0.562289642420313,0.528808256531527,0.554095256,26599.29,148944.48,42371,161066.97
"20","Czech Republic",0.676286128074917,0.874903822401131,0.659180712829292,0.763382190912978,0.622982119628348,0.965084774066912,251991.6,673808.05,145603,568245.44
"21","Denmark",0.745619286108263,0.796465045519005,0.722714711548293,0.751344041786687,0.670728567472405,0.841640998,6427039.09,5553312.04,4573595,826907.09
"22","Ecuador",0.531312306836315,0.542112545936035,0.547501755659846,0.582069646202552,0.577130028234399,0.526603059,4999257.38,444169.67,6059833,837745.33
"23","El Salvador",0.595377287197334,0.591460130829402,0.589120304768074,0.599908727312124,0.597454506497112,0.597544607,247555.17,158897.16,353115,264435.98
"24","Estonia",0.726372123332658,0.758642009067188,0.714842515096948,0.743077766589539,0.655295780486106,0.783727887,708894.49,370502.15,441796,105628.07
"25","Finland",0.738259781867699,0.78368635836174,0.704454217612163,0.72123344991445,0.627588108260413,0.839956524,360766.37,690021.87,1163103,1132240.51
"26","France",0.626592749232881,0.650491635739493,0.623144672607459,0.650897452949089,0.612478748752481,0.663,2180637.48,11361562.18,3960827,13059443.72
"27","Georgia",0.555585377792318,0.512094317336231,0.582669451403657,0.600137825396129,0.635945451697471,0.464518848,34220.08,164700.12,217476,204396.05
