"","Country","FMIc1","FMIc2","FMIc3","FMIc3_flp","FMIi","FMIp","Exports","Imports","Production","FoodSupply"
"1","Algeria",0.589380470332494,0.602038230202256,0.573943951710912,0.585185957252693,0.531974129161735,0.624891929,12092.15,379031.99,601248,967885.82
"2","Argentina",0.671927211755665,0.670464125190382,0.651757723123003,0.654622474044632,0.573422576473646,0.694,3565807.34,387311.41,4864978,1686454.83
"3","Australia",0.650200887410296,0.74787099673204,0.621918009065674,0.666361725566179,0.554474167128616,0.815911793,367093.86,2830087.31,1545651,3796719.49
"4","Austria",0.547322689603172,0.624414585526007,0.545973105056613,0.59930901341518,0.53958180963487,0.653110160843021,120162.17,820545.61,22651,724001.56
"5","Bahrain",0.445128469844112,0.446680301336874,0.443477591650773,0.45624050185162,0.437835296041037,0.449194033,75993.29,106105.95,102943,126057.06
"6","Belarus",0.78285920012709,0.841861086625287,0.780690180206276,0.831496154519959,0.777590118974644,0.865177800681336,592910.99,1295247.66,75148,780817.96
"7","Belgium",0.569919852650427,0.635693549587075,0.570038202921442,0.619675467596172,0.546482032353738,0.658662107,1676678.51,3186114.93,154358,1663777.21
"8","Bolivia",0.556938461978086,0.510186189899234,0.563855514139504,0.563186529247821,0.595171584201018,0.485511879855381,0,103221.05,55255,158473.04
"9","Botswana",0.716316393740436,0.761127507919941,0.713188535173893,0.754210933485579,0.714544400070464,0.78060158625506,6782.86,53074.88,2184,48458.99
"10","Brazil",0.366478853458055,0.334710990224425,0.427322370136633,0.472636955766317,0.565574329116348,0.251,270598.75,4481273.77,7741705,11484845.52
"11","Bulgaria",0.672729877820809,0.811725929844458,0.645789572418089,0.71239596895294,0.597807073246039,0.892685779,113553.95,283763.55,128278,291450.03
"12","Canada",0.732084222557205,0.764743125461328,0.683625212421816,0.681882224737627,0.564125901162046,0.834,4896278.97,3895542.53,6181096,4877815.91
"13","Chile",0.682464086925707,0.649296516098471,0.62513649003152,0.582149935405704,0.497539818685026,0.706,8375316.32,707159.85,18324875,1356704.42
"14","China",0.386142613123195,0.431078455625751,0.450606933109776,0.537319896119709,0.68711382653452,0.37,46736749.22,22414371.78,351362676,309389760.7
"15","Colombia",0.490703014508907,0.51242018633022,0.481513510456496,0.499396281546141,0.455689029778339,0.531008033,391951.01,1369376.93,1039709,2017134.91
"16","Costa Rica",0.61349328183002,0.685926114661541,0.588841877501772,0.622719896868942,0.541928548615407,0.74076962,224271.28,423289.42,241146,423261.21
"17","Cote d Ivoire",0.462251300435359,0.479452274404794,0.461158674522281,0.482612767821493,0.455871197243748,0.486798698,389950.12,2322224.75,451442,2383716.63
"18","Croatia",0.614671220201735,0.620902012616799,0.614853001858794,0.63651578793912,0.610354471287268,0.622874455,365821.68,304207.66,520683,461874.41
"19","Cyprus",0.518703831739426,0.549170796401063,0.523551357319308,0.558122861244256,0.52054126112612,0.554095256,26599.29,148944.48,42371,161066.97
"20","Czech Republic",0.638538482856811,0.856507516124859,0.611707080330828,0.716330099860208,0.566906597390594,0.965084774066912,251991.6,673808.05,145603,568245.44
"21","Denmark",0.794007707073404,0.816261897760312,0.779280953073715,0.801978298480797,0.770617492938152,0.841640998,6427039.09,5553312.04,4573595,826907.09
"22","Ecuador",0.511956170812186,0.49315762055875,0.478367936238122,0.456858010141418,0.239379370562355,0.526603059,4999257.38,444169.67,6059833,837745.33
"23","El Salvador",0.595335769953773,0.59402063801937,0.591992873379723,0.606457716855695,0.59571128224515,0.597544607,247555.17,158897.16,353115,264435.98
"24","Estonia",0.721659243461591,0.756866214248971,0.709505808364143,0.738535829842945,0.636144314468919,0.783727887,708894.49,370502.15,441796,105628.07
"25","Finland",0.740356695225709,0.787491151970911,0.710245268881927,0.730964941260983,0.636054294213399,0.839956524,360766.37,690021.87,1163103,1132240.51
"26","France",0.617431170446031,0.648516457333501,0.61444416130949,0.645845554333763,0.599448752920943,0.663,2180637.48,11361562.18,3960827,13059443.72
"27","Georgia",0.575657665498858,0.524242718580722,0.610595142046542,0.631209697809923,0.678163260524232,0.464518848,34220.08,164700.12,217476,204396.05
"28","Germany",0.595730696910726,0.651994503606992,0.593109624745826,0.63657979498096,0.600027278482077,0.674888213,6302240.01,11068230.09,1658794,6505748.09
"29","Ghana",0.58134255149305,0.589242607387765,0.567109105972601,0.576751722775628,0.550257279060898,0.608990146,355291.28,2071566.78,2263111,3991386.54
"30","Greece",0.59427779880084,0.625171058419972,0.582928954062706,0.606670880977237,0.544343390479981,0.649557716,851575.37,931130.84,1090639,1162622.47
"31","Guatemala",0.562073031574581,0.556539738001427,0.560320818731937,0.573014118386726,0.566615187005199,0.556684932,175572.33,225492.05,245401,295246.76
"32","Honduras",0.540788948072695,0.538002770190516,0.541908721674004,0.557678141353435,0.535714737997206,0.535688634,370941.39,90126.84,401631,126848.12
"33","Hong Kong",0.473003454247648,0.401426807518658,0.478268716993487,0.461480103845798,0.476760040232665,0.37,1711886.76,4010242.23,925748,2956270.14
"34","Hungary",0.706612791102717,0.829214879044224,0.661979560989767,0.706979589115655,0.586900600457262,0.925511584577892,41785.45,237386.84,134452,330262.71
"35","Iceland",0.888738953168794,0.875090405292808,0.839505947773678,0.818985844306605,0.723456189887616,0.929,4594668.06,357005.34,7417109,182391.26
"36","India",0.422066663075513,0.435440499070868,0.437279292746715,0.469036661085104,0.445132193541768,0.422,6361403.47,198614.27,60622406,49418267.77
"37","Indonesia",0.458237139998831,0.491509166199854,0.496143588788155,0.557446136626549,0.472748458642842,0.458,7527043.19,1084750.62,65049942,58394488.47
"38","Ireland",0.792434488889163,0.795368472436634,0.763049912142223,0.764127518829083,0.693570653911008,0.831437259,1646423.7,589908.25,1737872,601585.47
"39","Italy",0.591615135760688,0.65219492712954,0.58576769158703,0.628592413067479,0.571640977914111,0.680452163,1039715.53,9331658.12,2040450,10273379.88
"40","Japan",0.647764195581985,0.662189429532919,0.637916555469138,0.656373733228428,0.610342702791156,0.679,4192914.82,21774209.87,24634705,36818181.71
"41","Kenya",0.527836611745666,0.516959399572336,0.509501762266631,0.504907695060014,0.478887515485336,0.535,138114.66,149627.82,1036510,1047474.13
"42","Latvia",0.684085014327885,0.72379449008443,0.67732058828124,0.711871864559022,0.649907504078902,0.745812314,857859.11,513159.83,648972,280007.98
"43","Lithuania",0.726095347965337,0.750526052993418,0.717619732790492,0.744489242427011,0.650550406228429,0.769216068,1002116.64,1027708.21,613982,525037.53
"44","Luxembourg",0.530568744587182,0.63738919241668,0.530568744587182,0.599174271056915,0.527617103941807,0.674920701113531,10914.63,126557.23,0,115407.63
