HS6,ProductType,ConversionFactor,ConversionDesc,FAOGroup,Derivation,,,,,,
030100,Live Fish,1,Reported in live weight,Marine fish nei,FAO,,,,,,
030191,"Fish; live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)",1,Reported in live weight,Freshwater & diadromous fish,FAO,,,,,,
030192,"Fish; live, eels (anguilla spp.)",1,Reported in live weight,Freshwater & diadromous fish,FAO,,,,,,
030193,"Fish; live, carp",1,Reported in live weight,Freshwater & diadromous fish,FAO,,,,,,
030194,"Fish; live, bluefin tunas (Thunnus thynnus)",1,Reported in live weight,Pelagic fish,FAO,,,,,,
030195,"Fish; live, southern bluefin tunas (Thunnus maccoyii)",1,Reported in live weight,Pelagic fish,FAO,,,,,,
030199,"Fish; live, n.e.s. in heading no. 0301",1,Reported in live weight,Marine fish nei,FAO,,,,,,
030200,Fresh or Chilled Fish,1.285714286,FAO Assumed; average of all frozen fish CFs,Marine fish nei,Est,,,,,,
030211,"Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.4,FAO Assumed; frozen trout gutted/head on,Freshwater & diadromous fish,Est,,,,,,
030212,"Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.143333333,"FAO Assumed; average of frozen salmon whole gutted/head on, dressed gutted/head on, dressed gutted/head off",Freshwater & diadromous fish,Est,,,,,,
030213,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, livers, roes, other fish meat of heading 0304",1.143333333,"FAO Assumed; average of frozen salmon whole gutted/head on, dressed gutted/head on, dressed gutted/head off",Freshwater & diadromous fish,Est,,,,,,
030214,"Fish; fresh or chilled, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, livers, roes, and other fish meat of heading 0304",1.143333333,"FAO Assumed; average of frozen salmon whole gutted/head on, dressed gutted/head on, dressed gutted/head off",Freshwater & diadromous fish,Est,,,,,,
030219,"Fish; salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.143333333,"FAO Assumed; average of frozen salmon whole gutted/head on, dressed gutted/head on, dressed gutted/head off",Freshwater & diadromous fish,Est,,,,,,
030221,"Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.25,"FAO Assumed; average of frozen flatfish dressed gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
030222,"Fish; plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1.25,"FAO Assumed; average of frozen flatfish dressed gutted/head on, gutted/head off",Demersal fish,Est,,,,,,
