"","Reporter","Year","FAOGroup","FMI_Imp1"
"1","Albania",2016,"Cephalopods",0.546437310456991
"2","Albania",2016,"Crustaceans",0.677542172422774
"3","Albania",2016,"Demersal fish",0.619983408800092
"4","Albania",2016,"Freshwater & diadromous fish",0.60677476619464
"5","Albania",2016,"Marine fish nei",0.44398143794333
"6","Albania",2016,"Molluscs excl. cephalopods",0.503074365818251
"7","Albania",2016,"Pelagic fish",0.608991066643933
"8","Albania",2017,"Aquatic animals nei",0.574357608569996
"9","Albania",2017,"Cephalopods",0.515989740780815
"10","Albania",2017,"Crustaceans",0.713195100455973
"11","Albania",2017,"Demersal fish",0.814354246780164
"12","Albania",2017,"Freshwater & diadromous fish",0.655856829905481
"13","Albania",2017,"Marine fish nei",0.53364085063995
"14","Albania",2017,"Molluscs excl. cephalopods",0.486561038418924
"15","Albania",2017,"Pelagic fish",0.610157812864315
"16","Algeria",2012,"Aquatic animals nei",0.561859661313542
"17","Algeria",2012,"Cephalopods",0.456598827234348
"18","Algeria",2012,"Crustaceans",0.411921704254466
"19","Algeria",2012,"Demersal fish",0.611023592764721
"20","Algeria",2012,"Freshwater & diadromous fish",0.431705598605787
"21","Algeria",2012,"Marine fish nei",0.464337675729284
"22","Algeria",2012,"Molluscs excl. cephalopods",0.449147662754263
"23","Algeria",2012,"Pelagic fish",0.556630384440968
"24","Algeria",2013,"Aquatic animals nei",0.390710644747596
"25","Algeria",2013,"Cephalopods",0.44577754437541
"26","Algeria",2013,"Crustaceans",0.413547597825552
"27","Algeria",2013,"Demersal fish",0.603263707614339
"28","Algeria",2013,"Freshwater & diadromous fish",0.399197592378435
"29","Algeria",2013,"Marine fish nei",0.448198147101706
"30","Algeria",2013,"Molluscs excl. cephalopods",0.53807401483609
"31","Algeria",2013,"Pelagic fish",0.547978182072919
"32","Algeria",2014,"Aquatic animals nei",0.371485684336715
"33","Algeria",2014,"Cephalopods",0.452945146994401
"34","Algeria",2014,"Crustaceans",0.424319171745891
"35","Algeria",2014,"Demersal fish",0.590965105685481
"36","Algeria",2014,"Freshwater & diadromous fish",0.418822124906128
"37","Algeria",2014,"Marine fish nei",0.428987261154643
"38","Algeria",2014,"Molluscs excl. cephalopods",0.466850992459909
"39","Algeria",2014,"Pelagic fish",0.53560132384613
"40","Algeria",2015,"Aquatic animals nei",0.382838212299403
"41","Algeria",2015,"Cephalopods",0.445607628707369
"42","Algeria",2015,"Crustaceans",0.437701029989453
"43","Algeria",2015,"Demersal fish",0.604293935576417
"44","Algeria",2015,"Freshwater & diadromous fish",0.43126675722287
"45","Algeria",2015,"Marine fish nei",0.518533136348078
"46","Algeria",2015,"Molluscs excl. cephalopods",0.419074405175315
"47","Algeria",2015,"Pelagic fish",0.561283003148056
"48","Algeria",2016,"Aquatic animals nei",0.374285567482985
"49","Algeria",2016,"Cephalopods",0.445112299315008
"50","Algeria",2016,"Crustaceans",0.417329671567632
"51","Algeria",2016,"Demersal fish",0.612466970747444
"52","Algeria",2016,"Freshwater & diadromous fish",0.458318511565756
"53","Algeria",2016,"Marine fish nei",0.414281674345614
"54","Algeria",2016,"Molluscs excl. cephalopods",0.39622539449046
"55","Algeria",2016,"Pelagic fish",0.580287396073679
"56","Algeria",2017,"Aquatic animals nei",0.372679077718693
"57","Algeria",2017,"Cephalopods",0.458841601843854
"58","Algeria",2017,"Crustaceans",0.447161673698965
"59","Algeria",2017,"Demersal fish",0.619545017609547
"60","Algeria",2017,"Freshwater & diadromous fish",0.43588579892858
"61","Algeria",2017,"Marine fish nei",0.392526962118382
"62","Algeria",2017,"Molluscs excl. cephalopods",0.556708861828431
"63","Algeria",2017,"Pelagic fish",0.561714604252158
"64","Argentina",2012,"Aquatic animals nei",0.703979789015443
"65","Argentina",2012,"Cephalopods",0.629262652036499
"66","Argentina",2012,"Crustaceans",0.535282992813679
"67","Argentina",2012,"Demersal fish",0.726715680152233
"68","Argentina",2012,"Freshwater & diadromous fish",0.702612695361619
"69","Argentina",2012,"Marine fish nei",0.414233841562577
"70","Argentina",2012,"Molluscs excl. cephalopods",0.702501976089988
"71","Argentina",2012,"Pelagic fish",0.489694555326789
"72","Argentina",2013,"Aquatic animals nei",0.702613282525637
"73","Argentina",2013,"Cephalopods",0.618530759900297
"74","Argentina",2013,"Crustaceans",0.535571563726918
"75","Argentina",2013,"Demersal fish",0.73875455894783
"76","Argentina",2013,"Freshwater & diadromous fish",0.7038319631949
"77","Argentina",2013,"Marine fish nei",0.375814635427464
"78","Argentina",2013,"Molluscs excl. cephalopods",0.702303070330377
"79","Argentina",2013,"Pelagic fish",0.499877692876946
"80","Argentina",2014,"Aquatic animals nei",0.702464406841523
"81","Argentina",2014,"Cephalopods",0.602696822026425
"82","Argentina",2014,"Crustaceans",0.545138706092499
"83","Argentina",2014,"Demersal fish",0.507143506051568
"84","Argentina",2014,"Freshwater & diadromous fish",0.703471581995163
"85","Argentina",2014,"Marine fish nei",0.395312318662904
"86","Argentina",2014,"Molluscs excl. cephalopods",0.701143347635987
"87","Argentina",2014,"Pelagic fish",0.501433778801071
"88","Argentina",2015,"Aquatic animals nei",0.698311123181777
"89","Argentina",2015,"Cephalopods",0.603233836435838
"90","Argentina",2015,"Crustaceans",0.514446257654813
"91","Argentina",2015,"Demersal fish",0.670926684203929
"92","Argentina",2015,"Freshwater & diadromous fish",0.703444097319424
"93","Argentina",2015,"Marine fish nei",0.404910175513281
"94","Argentina",2015,"Molluscs excl. cephalopods",0.700325872615889
"95","Argentina",2015,"Pelagic fish",0.512718710991155
"96","Argentina",2016,"Aquatic animals nei",0.700774217349221
"97","Argentina",2016,"Cephalopods",0.587695574500263
"98","Argentina",2016,"Crustaceans",0.49928657834271
"99","Argentina",2016,"Demersal fish",0.585180275075801
"100","Argentina",2016,"Freshwater & diadromous fish",0.702088658828171
"101","Argentina",2016,"Marine fish nei",0.408755134886913
"102","Argentina",2016,"Molluscs excl. cephalopods",0.67847427028798
"103","Argentina",2016,"Pelagic fish",0.515235004775627
"104","Argentina",2017,"Aquatic animals nei",0.699408434049107
"105","Argentina",2017,"Cephalopods",0.56861146761601
"106","Argentina",2017,"Crustaceans",0.50822367188134
"107","Argentina",2017,"Demersal fish",0.579148826555517
"108","Argentina",2017,"Freshwater & diadromous fish",0.692482509465571
"109","Argentina",2017,"Marine fish nei",0.394911779828506
"110","Argentina",2017,"Molluscs excl. cephalopods",0.68228049573905
"111","Argentina",2017,"Pelagic fish",0.524225821523098
"112","Australia",2012,"Aquatic animals nei",0.367277212950754
"113","Australia",2012,"Cephalopods",0.471074979024861
"114","Australia",2012,"Crustaceans",0.384857951688013
"115","Australia",2012,"Demersal fish",0.723649706703197
"116","Australia",2012,"Freshwater & diadromous fish",0.499034992241165
"117","Australia",2012,"Marine fish nei",0.504211548625024
