"","Reporter","Year","FAOGroup","FMI_Imp1"
"1","Albania",2016,"Cephalopods",0.546437310456991
"2","Albania",2016,"Crustaceans",0.704606376870561
"3","Albania",2016,"Demersal fish",0.634621403679679
"4","Albania",2016,"Marine fish nei",0.435932530461541
"5","Albania",2016,"Molluscs excl. cephalopods",0.474450195729845
"6","Albania",2016,"Pelagic fish",0.609103469056352
"7","Albania",2017,"Aquatic animals nei",0.574357608569996
"8","Albania",2017,"Cephalopods",0.515956719517866
"9","Albania",2017,"Crustaceans",0.740698403072175
"10","Albania",2017,"Demersal fish",0.814354246780164
"11","Albania",2017,"Freshwater & diadromous fish",0.484259769095854
"12","Albania",2017,"Marine fish nei",0.547911600185558
"13","Albania",2017,"Molluscs excl. cephalopods",0.462339691826364
"14","Albania",2017,"Pelagic fish",0.610157812864315
"15","Algeria",2012,"Aquatic animals nei",0.561859661313542
"16","Algeria",2012,"Cephalopods",0.456646053235172
"17","Algeria",2012,"Crustaceans",0.386477161518748
"18","Algeria",2012,"Demersal fish",0.611023592764721
"19","Algeria",2012,"Freshwater & diadromous fish",0.455968740745684
"20","Algeria",2012,"Marine fish nei",0.466486566204384
"21","Algeria",2012,"Molluscs excl. cephalopods",0.458027098803931
"22","Algeria",2012,"Pelagic fish",0.556712985341349
"23","Algeria",2013,"Aquatic animals nei",0.378767994141041
"24","Algeria",2013,"Cephalopods",0.44577754437541
"25","Algeria",2013,"Crustaceans",0.38484817648472
"26","Algeria",2013,"Demersal fish",0.603263707614339
"27","Algeria",2013,"Freshwater & diadromous fish",0.418275053522368
"28","Algeria",2013,"Marine fish nei",0.443607678577053
"29","Algeria",2013,"Molluscs excl. cephalopods",0.50709634969563
"30","Algeria",2013,"Pelagic fish",0.547978182072919
"31","Algeria",2014,"Aquatic animals nei",0.370727163069575
"32","Algeria",2014,"Cephalopods",0.452945146994401
"33","Algeria",2014,"Crustaceans",0.398712410752128
"34","Algeria",2014,"Demersal fish",0.590965105685481
"35","Algeria",2014,"Freshwater & diadromous fish",0.432405899438153
"36","Algeria",2014,"Marine fish nei",0.515190123713182
"37","Algeria",2014,"Molluscs excl. cephalopods",0.476451576883263
"38","Algeria",2014,"Pelagic fish",0.53560132384613
"39","Algeria",2015,"Aquatic animals nei",0.379840995586986
"40","Algeria",2015,"Cephalopods",0.445607628707369
"41","Algeria",2015,"Crustaceans",0.395181585449929
"42","Algeria",2015,"Demersal fish",0.604293935576418
"43","Algeria",2015,"Freshwater & diadromous fish",0.454811928264261
"44","Algeria",2015,"Marine fish nei",0.547439772224003
"45","Algeria",2015,"Molluscs excl. cephalopods",0.562193907529069
"46","Algeria",2015,"Pelagic fish",0.561283003148056
"47","Algeria",2016,"Aquatic animals nei",0.373255978885615
"48","Algeria",2016,"Cephalopods",0.445112299315008
"49","Algeria",2016,"Crustaceans",0.385194574019898
"50","Algeria",2016,"Demersal fish",0.612466970747445
"51","Algeria",2016,"Freshwater & diadromous fish",0.456996106294141
"52","Algeria",2016,"Marine fish nei",0.445455306836881
"53","Algeria",2016,"Molluscs excl. cephalopods",0.553781364010485
"54","Algeria",2016,"Pelagic fish",0.580287396073679
"55","Algeria",2017,"Aquatic animals nei",0.372679077718693
"56","Algeria",2017,"Cephalopods",0.458841601843854
"57","Algeria",2017,"Crustaceans",0.440001161725917
"58","Algeria",2017,"Demersal fish",0.619545017609547
"59","Algeria",2017,"Freshwater & diadromous fish",0.389515648971871
"60","Algeria",2017,"Marine fish nei",0.392478930305921
"61","Algeria",2017,"Molluscs excl. cephalopods",0.559359346623051
"62","Algeria",2017,"Pelagic fish",0.561714604252158
"63","Argentina",2012,"Aquatic animals nei",0.703979789015443
"64","Argentina",2012,"Cephalopods",0.629262652036499
"65","Argentina",2012,"Crustaceans",0.526933747158604
"66","Argentina",2012,"Demersal fish",0.726715680152233
"67","Argentina",2012,"Marine fish nei",0.61480651412114
"68","Argentina",2012,"Molluscs excl. cephalopods",0.702719310141027
"69","Argentina",2012,"Pelagic fish",0.489694555326789
"70","Argentina",2013,"Aquatic animals nei",0.702613282525637
"71","Argentina",2013,"Cephalopods",0.618530759900297
"72","Argentina",2013,"Crustaceans",0.526711391144213
"73","Argentina",2013,"Demersal fish",0.73875455894783
"74","Argentina",2013,"Marine fish nei",0.627553412354385
"75","Argentina",2013,"Molluscs excl. cephalopods",0.70179929404399
"76","Argentina",2013,"Pelagic fish",0.499877692876946
"77","Argentina",2014,"Aquatic animals nei",0.702464406841523
"78","Argentina",2014,"Cephalopods",0.602696822026425
"79","Argentina",2014,"Crustaceans",0.526971592708033
"80","Argentina",2014,"Demersal fish",0.507143506051568
"81","Argentina",2014,"Marine fish nei",0.636949496653977
"82","Argentina",2014,"Molluscs excl. cephalopods",0.700130333265885
"83","Argentina",2014,"Pelagic fish",0.501433778801071
"84","Argentina",2015,"Aquatic animals nei",0.698311123181777
"85","Argentina",2015,"Cephalopods",0.603233836435838
"86","Argentina",2015,"Crustaceans",0.50524441922324
"87","Argentina",2015,"Demersal fish",0.670926684203929
"88","Argentina",2015,"Marine fish nei",0.654726584605405
"89","Argentina",2015,"Molluscs excl. cephalopods",0.698840133793478
"90","Argentina",2015,"Pelagic fish",0.512718710991155
"91","Argentina",2016,"Aquatic animals nei",0.700774217349221
"92","Argentina",2016,"Cephalopods",0.587695574500263
"93","Argentina",2016,"Crustaceans",0.465052047372112
"94","Argentina",2016,"Demersal fish",0.585180275075801
"95","Argentina",2016,"Marine fish nei",0.655977856406013
"96","Argentina",2016,"Molluscs excl. cephalopods",0.630181529032799
"97","Argentina",2016,"Pelagic fish",0.515235004775627
"98","Argentina",2017,"Aquatic animals nei",0.699408434049107
"99","Argentina",2017,"Cephalopods",0.56861146761601
"100","Argentina",2017,"Crustaceans",0.510106413741436
"101","Argentina",2017,"Demersal fish",0.579148826555517
"102","Argentina",2017,"Marine fish nei",0.642147457266531
"103","Argentina",2017,"Molluscs excl. cephalopods",0.649465492349516
"104","Argentina",2017,"Pelagic fish",0.524225821523098
"105","Australia",2012,"Aquatic animals nei",0.363085107644273
"106","Australia",2012,"Cephalopods",0.471074979024861
"107","Australia",2012,"Crustaceans",0.379694466682113
"108","Australia",2012,"Demersal fish",0.723649706703197
"109","Australia",2012,"Freshwater & diadromous fish",0.482104662487149
"110","Australia",2012,"Marine fish nei",0.504211548625024
"111","Australia",2012,"Molluscs excl. cephalopods",0.55904800300956
"112","Australia",2012,"Pelagic fish",0.512490190875886
"113","Australia",2013,"Aquatic animals nei",0.375564288317084
"114","Australia",2013,"Cephalopods",0.47289326702396
"115","Australia",2013,"Crustaceans",0.391202907567113
"116","Australia",2013,"Demersal fish",0.741420127613932
"117","Australia",2013,"Freshwater & diadromous fish",0.488839945333781
"118","Australia",2013,"Marine fish nei",0.509574645428623
"119","Australia",2013,"Molluscs excl. cephalopods",0.567732345821945
"120","Australia",2013,"Pelagic fish",0.514714414337347
"121","Australia",2014,"Aquatic animals nei",0.38070085176469
"122","Australia",2014,"Cephalopods",0.473896780315269
"123","Australia",2014,"Crustaceans",0.395240578202693
"124","Australia",2014,"Demersal fish",0.746012177023772
"125","Australia",2014,"Freshwater & diadromous fish",0.472927703682493
"126","Australia",2014,"Marine fish nei",0.511936078887932
"127","Australia",2014,"Molluscs excl. cephalopods",0.530284313185119
"128","Australia",2014,"Pelagic fish",0.510293858840741
"129","Australia",2015,"Aquatic animals nei",0.41924340265621
"130","Australia",2015,"Cephalopods",0.452929292529439
"131","Australia",2015,"Crustaceans",0.378406460245738
