rgn_id,FMI,Country,derivation
82,0.552767541,Albania,GAP
84,0.624891929,Algeria,GAP
151,0.672005127,American Samoa,GAP
26,0.356622287,Andaman and Nicobar,GAP
200,0.292914029,Angola,GAP
118,0.469759979,Anguilla,GAP
120,0.423187995,Antigua & Barbuda,GAP
172,0.694,Argentina,FMI
250,0.507618376,Aruba,GAP
85,0.796185135,Ascension,GAP
16,0.815911793,Australia,GAP
55,0.643817191,Azores,GAP
110,0.329,Bahamas,FMI
52,0.449194033,Bahrain,GAP
204,0.415,Bangladesh,FMI
124,0.261,Barbados,FMI
59,0.658662107,Belgium,GAP
164,0.587,Belize,FMI
99,0.512840964,Benin,GAP
108,0.485360677,Bermuda,GAP
245,0.454022688,Bonaire,GAP
232,0.508272399,Bosnia & Herzegovina,GAP
171,0.251,Brazil,FMI
38,0.66916209,British Indian Ocean Territory,GAP
117,0.493314191,British Virgin Islands,GAP
247,0.437699969,Brunei,GAP
71,0.892685779,Bulgaria,GAP
24,0.21267415,Cambodia,GAP
197,0.351333974,Cameroon,GAP
218,0.834,Canada,FMI
58,0.618453223,Canary Islands,GAP
56,0.675638671,Cape Verde,GAP
113,0.454615295,Cayman Islands,GAP
224,0.706,Chile,FMI
209,0.37,China,FMI
2,0.824746299,Christmas Island,GAP
1,0.824746299,Cocos Islands,GAP
132,0.531008033,Colombia,GAP
28,0.524960868,Comoro Islands,GAP
153,0.5830287,Cook Islands,GAP
130,0.74076962,Costa Rica,GAP
187,0.622874455,Croatia,GAP
112,0.529,Cuba,FMI
244,0.454022688,Curacao,GAP
81,0.554095256,Cyprus,GAP
199,0.261863061,Democratic Republic of the Congo,GAP
175,0.841640998,Denmark,GAP
46,0.459952096,Djibouti,GAP
123,0.425921133,Dominica,GAP
115,0.347359699,Dominican Republic,GAP
231,0.280679199,East Timor,GAP
137,0.526603059,Ecuador,GAP
214,0.57209932,Egypt,GAP
134,0.597544607,El Salvador,GAP
104,0.377187316,Equatorial Guinea,GAP
45,0.347308485,Eritrea,GAP
70,0.783727887,Estonia,GAP
141,0.848328686,Faeroe Islands,GAP
95,0.796185135,Falkland Islands,GAP
18,0.551970215,Fiji,GAP
174,0.839956524,Finland,GAP
179,0.663,France,FMI
169,0.607856658,French Guiana,GAP
147,0.686639881,French Polynesia,GAP
198,0.481,Gabon,FMI
65,0.511730404,Gambia,GAP
74,0.464518848,Georgia,GAP
176,0.674888213,Germany,GAP
106,0.608990146,Ghana,GAP
60,0.651717051,Gibraltar,GAP
80,0.649557716,Greece,GAP
145,0.830943023,Greenland,GAP
125,0.411227578,Grenada,GAP
140,0.472504211,Guadeloupe,GAP
136,0.556684932,Guatemala,GAP
228,0.811976021,Guernsey,GAP
194,0.419255761,Guinea,GAP
193,0.403805144,Guinea Bissau,GAP
167,0.452911047,Guyana,GAP
114,0.137548362,Haiti,GAP
133,0.535688634,Honduras,GAP
143,0.929,Iceland,FMI
203,0.422,India,FMI
216,0.458,Indonesia,FMI
191,0.505619357,Iran,GAP
192,0.344726554,Iraq,GAP
181,0.831437259,Ireland,GAP
79,0.55122009,Israel,GAP
184,0.680452163,Italy,GAP
195,0.486798698,Cote d Ivoire,GAP
166,0.554,Jamaica,FMI
210,0.679,Japan,FMI
227,0.811976021,Jersey,GAP
215,0.453904321,Jordan,GAP
43,0.535,Kenya,FMI
148,0.464006634,Kiribati,GAP
51,0.495451766,Kuwait,GAP
69,0.745812314,Latvia,GAP
78,0.432745393,Lebanon,GAP
97,0.484175092,Liberia,GAP
67,0.515186665,Libya,GAP
189,0.769216068,Lithuania,GAP
42,0.426419137,Madagascar,GAP
57,0.643817191,Madeira,GAP
206,0.386,Malaysia,FMI
39,0.5035051,Maldives,GAP
68,0.61190458,Malta,GAP
11,0.430647847,Marshall Islands,GAP
64,0.443934051,Mauritania,GAP
37,0.71451637,Mauritius,GAP
29,0.748984413,Mayotte,GAP
135,0.588,Mexico,FMI
9,0.47233803,Micronesia,GAP
185,0.612129927,Monaco,GAP
186,0.553654498,Montenegro,GAP
121,0.493314191,Montserrat,GAP
62,0.622,Morocco,FMI
41,0.443398039,Mozambique,GAP
205,0.172,Myanmar,FMI
101,0.775,Namibia,FMI
10,0.415991926,Nauru,GAP
177,0.676095668,Netherlands,GAP
5,0.682159767,New Caledonia,GAP
162,0.823,New Zealand,FMI
131,0.578702349,Nicaragua,GAP
196,0.518,Nigeria,FMI
154,0.530851803,Niue,GAP
3,0.824746299,Norfolk Island,GAP
21,0.287762768,North Korea,GAP
13,0.52723259,Northern Mariana Islands & Guam,GAP
221,0.479548718,Northern Saint-Martin,GAP
223,0.865,Norway,FMI
237,0.303837821,Oecussi Ambeno,GAP
48,0.441689646,Oman,GAP
53,0.37344032,Pakistan,GAP
8,0.471,Palau,FMI
129,0.661800583,Panama,GAP
17,0.347348909,Papua New Guinea,GAP
138,0.613,Peru,FMI
15,0.381,Philippines,FMI
146,0.698413816,Pitcairn,GAP
178,0.936795147,Poland,GAP
183,0.674310541,Portugal,GAP
116,0.419868374,Puerto Rico,GAP
190,0.460681043,Qatar,GAP
32,0.738488297,Reunion,GAP
100,0.353301678,Congo,GAP
72,0.876877064,Romania,GAP
73,0.838,Russia,FMI
248,0.454022688,Saba,GAP
86,0.796185135,Saint Helena,GAP
119,0.417907783,Saint Kitts & Nevis,GAP
122,0.421669223,Saint Lucia,GAP
219,0.821520147,Saint Pierre & Miquelon,GAP
127,0.426584075,Saint Vincent & the Grenadines,GAP
152,0.637504286,Samoa,GAP
103,0.496042218,Sao Tome & Principe,GAP
50,0.415634648,Saudi Arabia,GAP
66,0.558,Senegal,FMI
31,0.678867141,Seychelles,GAP
96,0.470304268,Sierra Leone,GAP
208,0.551760263,Singapore,GAP
249,0.454022688,Sint Eustatius,GAP
220,0.454022688,Sint Maarten,GAP
188,0.675585076,Slovenia,GAP
7,0.424468389,Solomon Islands,GAP
44,0.333612629,Somalia,GAP
102,0.787,South Africa,FMI
20,0.692,South Korea,FMI
182,0.69,Spain,FMI
40,0.541872816,Sri Lanka,GAP
49,0.374598467,Sudan,GAP
168,0.498101162,Suriname,GAP
222,0.773,Sweden,FMI
77,0.22002086,Syria,GAP
14,0.608993679,Taiwan,GAP
202,0.518,Tanzania,FMI
25,0.313,Thailand,FMI
98,0.496994983,Togo,GAP
156,0.630880423,Tokelau,GAP
155,0.574202803,Tonga,GAP
126,0.418056294,Trinidad & Tobago,GAP
88,0.796185135,Tristan da Cunha,GAP
61,0.680643547,Tunisia,GAP
76,0.431393873,Turkey,GAP
111,0.493314191,Turks & Caicos Islands,GAP
19,0.601353757,Tuvalu,GAP
75,0.830308065,Ukraine,GAP
54,0.488980073,United Arab Emirates,GAP
180,0.785,United Kingdom,FMI
163,0.932,United States,FMI
173,0.60886651,Uruguay,GAP
6,0.485677675,Vanuatu,GAP
139,0.267811755,Venezuela,GAP
207,0.439,Vietnam,FMI
161,0.686639881,Wallis and Futuna,GAP
63,0.568076745,Western Sahara,GAP
47,0.205543513,Yemen,GAP
X1,0.37,Hong Kong,FMI
X2,0.37,Macau,FMI
X3,0.419868374,US Virgin Islands,FMI
X4,0.472504211,Martinique,GAP
X5,0.553654498,Serbia,GAP
